,Postcode,Borough,Neighbourhood
0,M1A,Not assigned,Not assigned
1,M2A,Not assigned,Not assigned
2,M3A,North York,Parkwoods
3,M4A,North York,Victoria Village
4,M5A,Downtown Toronto,Harbourfront
5,M5A,Downtown Toronto,Regent Park
6,M6A,North York,Lawrence Heights
7,M6A,North York,Lawrence Manor
8,M7A,Queen's Park,Not assigned
9,M8A,Not assigned,Not assigned
10,M9A,Etobicoke,Islington Avenue
11,M1B,Scarborough,Rouge
12,M1B,Scarborough,Malvern
13,M2B,Not assigned,Not assigned
14,M3B,North York,Don Mills North
15,M4B,East York,Woodbine Gardens
16,M4B,East York,Parkview Hill
17,M5B,Downtown Toronto,Ryerson
18,M5B,Downtown Toronto,Garden District
19,M6B,North York,Glencairn
20,M7B,Not assigned,Not assigned
21,M8B,Not assigned,Not assigned
22,M9B,Etobicoke,Cloverdale
23,M9B,Etobicoke,Islington
24,M9B,Etobicoke,Martin Grove
25,M9B,Etobicoke,Princess Gardens
26,M9B,Etobicoke,West Deane Park
27,M1C,Scarborough,Highland Creek
28,M1C,Scarborough,Rouge Hill
29,M1C,Scarborough,Port Union
30,M2C,Not assigned,Not assigned
31,M3C,North York,Flemingdon Park
32,M3C,North York,Don Mills South
33,M4C,East York,Woodbine Heights
34,M5C,Downtown Toronto,St. James Town
35,M6C,York,Humewood-Cedarvale
36,M7C,Not assigned,Not assigned
37,M8C,Not assigned,Not assigned
38,M9C,Etobicoke,Bloordale Gardens
39,M9C,Etobicoke,Eringate
40,M9C,Etobicoke,Markland Wood
41,M9C,Etobicoke,Old Burnhamthorpe
42,M1E,Scarborough,Guildwood
43,M1E,Scarborough,Morningside
44,M1E,Scarborough,West Hill
45,M2E,Not assigned,Not assigned
46,M3E,Not assigned,Not assigned
47,M4E,East Toronto,The Beaches
48,M5E,Downtown Toronto,Berczy Park
49,M6E,York,Caledonia-Fairbanks
50,M7E,Not assigned,Not assigned
51,M8E,Not assigned,Not assigned
52,M9E,Not assigned,Not assigned
53,M1G,Scarborough,Woburn
54,M2G,Not assigned,Not assigned
55,M3G,Not assigned,Not assigned
56,M4G,East York,Leaside
57,M5G,Downtown Toronto,Central Bay Street
58,M6G,Downtown Toronto,Christie
59,M7G,Not assigned,Not assigned
60,M8G,Not assigned,Not assigned
61,M9G,Not assigned,Not assigned
62,M1H,Scarborough,Cedarbrae
63,M2H,North York,Hillcrest Village
64,M3H,North York,Bathurst Manor
65,M3H,North York,Downsview North
66,M3H,North York,Wilson Heights
67,M4H,East York,Thorncliffe Park
68,M5H,Downtown Toronto,Adelaide
69,M5H,Downtown Toronto,King
70,M5H,Downtown Toronto,Richmond
71,M6H,West Toronto,Dovercourt Village
72,M6H,West Toronto,Dufferin
73,M7H,Not assigned,Not assigned
74,M8H,Not assigned,Not assigned
75,M9H,Not assigned,Not assigned
76,M1J,Scarborough,Scarborough Village
77,M2J,North York,Fairview
78,M2J,North York,Henry Farm
79,M2J,North York,Oriole
80,M3J,North York,Northwood Park
81,M3J,North York,York University
82,M4J,East York,East Toronto
83,M5J,Downtown Toronto,Harbourfront East
84,M5J,Downtown Toronto,Toronto Islands
85,M5J,Downtown Toronto,Union Station
86,M6J,West Toronto,Little Portugal
87,M6J,West Toronto,Trinity
88,M7J,Not assigned,Not assigned
89,M8J,Not assigned,Not assigned
90,M9J,Not assigned,Not assigned
91,M1K,Scarborough,East Birchmount Park
92,M1K,Scarborough,Ionview
93,M1K,Scarborough,Kennedy Park
94,M2K,North York,Bayview Village
95,M3K,North York,CFB Toronto
96,M3K,North York,Downsview East
97,M4K,East Toronto,The Danforth West
98,M4K,East Toronto,Riverdale
99,M5K,Downtown Toronto,Design Exchange
100,M5K,Downtown Toronto,Toronto Dominion Centre
101,M6K,West Toronto,Brockton
102,M6K,West Toronto,Exhibition Place
103,M6K,West Toronto,Parkdale Village
104,M7K,Not assigned,Not assigned
105,M8K,Not assigned,Not assigned
106,M9K,Not assigned,Not assigned
107,M1L,Scarborough,Clairlea
108,M1L,Scarborough,Golden Mile
109,M1L,Scarborough,Oakridge
110,M2L,North York,Silver Hills
111,M2L,North York,York Mills
112,M3L,North York,Downsview West
113,M4L,East Toronto,The Beaches West
114,M4L,East Toronto,India Bazaar
115,M5L,Downtown Toronto,Commerce Court
116,M5L,Downtown Toronto,Victoria Hotel
117,M6L,North York,Downsview
118,M6L,North York,North Park
119,M6L,North York,Upwood Park
120,M7L,Not assigned,Not assigned
121,M8L,Not assigned,Not assigned
122,M9L,North York,Humber Summit
123,M1M,Scarborough,Cliffcrest
124,M1M,Scarborough,Cliffside
125,M1M,Scarborough,Scarborough Village West
126,M2M,North York,Newtonbrook
127,M2M,North York,Willowdale
128,M3M,North York,Downsview Central
129,M4M,East Toronto,Studio District
130,M5M,North York,Bedford Park
131,M5M,North York,Lawrence Manor East
132,M6M,York,Del Ray
133,M6M,York,Keelesdale
134,M6M,York,Mount Dennis
135,M6M,York,Silverthorn
136,M7M,Not assigned,Not assigned
137,M8M,Not assigned,Not assigned
138,M9M,North York,Emery
139,M9M,North York,Humberlea
140,M1N,Scarborough,Birch Cliff
141,M1N,Scarborough,Cliffside West
